Opportunity Name,Organization/Household Name: Organization/Household Name,Opportunity Record Type,Project: Project Name,Proposal Submission Date,Won Proposal,Opportunities Count,Project: Country Program: Country Program Name,Project: Research Not Managed by IPA,Allocation Type,Original Close Date,pi_position,pi_name
WBK3862 Endline Survey of Networks and Employees,World Bank,Grant Award,Network Effects in SME Clusters (SNE),9/16/2014,1,1,Uganda,0.0,,10/24/2014,pi3,Bilal Zia
WBK3862 Endline Survey of Networks and Employees,World Bank,Grant Award,Network Effects in SME Clusters (SNE),9/16/2014,1,1,Uganda,0.0,,10/24/2014,pi4,Francisco Moraes Leitao Campos
WBK3862 Endline Survey of Networks and Employees,World Bank,Grant Award,Network Effects in SME Clusters (SNE),9/16/2014,1,1,Uganda,0.0,,10/24/2014,pi5,Markus Goldstein
Networking in Educational Attainment,New York University Abu Dhabi,Grant Proposal,Networking in Educational Attainment,10/25/2017,0,1,Malawi,0.0,,11/23/2017,pi1,Melina Platas Izama
BMG-21-10006 - Improving Consumer Outcomes with an Embedded Evidence Lab at the Commercial Bank of Nigeria,Gates Foundation,Grant Award,Nigeria Digital Financial Services Survey,3/23/2021,1,1,Nigeria,0.0,Allocation,8/12/2021,pi1,Shana Warren
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Nigeria Herder Farmer Dialogues,9/28/2015,1,1,Nigeria,0.0,Internal Subaward,4/9/2018,pi1,Oeindrila Dube
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Nigeria Herder Farmer Dialogues,9/28/2015,1,1,Nigeria,0.0,Internal Subaward,4/9/2018,pi2,Soeren Henn
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Nigeria Herder Farmer Dialogues,9/28/2015,1,1,Nigeria,0.0,Internal Subaward,4/9/2018,pi3,James Robinson
WBK-21-20127 - Non-Violent Parenting Study (Jamaica),World Bank,Grant Award,Non-violent Parenting Jamaica WB,5/12/2021,1,1,LAC-Other,0.0,Allocation,8/3/2021,pi1,Lelys Dinarte
WBK6843 WB #7166843 North Volta Ghana,World Bank,Grant Award,North Volta Rural Bank (NVRB) Ahoboa Savings Pilot,10/17/2014,1,1,Ghana,0.0,,4/26/2013,pi1,Tricia Gonwa
WBK6843 WB #7166843 North Volta Ghana,World Bank,Grant Award,North Volta Rural Bank (NVRB) Ahoboa Savings Pilot,10/17/2014,1,1,Ghana,0.0,,4/26/2013,pi2,Robert Osei
WBK6843 WB #7166843 North Volta Ghana,World Bank,Grant Award,North Volta Rural Bank (NVRB) Ahoboa Savings Pilot,10/17/2014,1,1,Ghana,0.0,,4/26/2013,pi3,Markus Goldstein
WBK6843 WB #7166843 North Volta Ghana,World Bank,Grant Award,North Volta Rural Bank (NVRB) Ahoboa Savings Pilot,10/17/2014,1,1,Ghana,0.0,,4/26/2013,pi4,Leora Klapper
WBK6843 WB #7166843 North Volta Ghana,World Bank,Grant Award,North Volta Rural Bank (NVRB) Ahoboa Savings Pilot,10/17/2014,1,1,Ghana,0.0,,4/26/2013,pi5,Simone Schaner
WBK8018 Evaluating the Impact of Commitment Savings Accounts Linked to Mobile Money,World Bank,Grant Award,North Volta Rural Bank (NVRB) Ahoboa Savings Scale-Up,8/28/2015,1,1,Ghana,1.0,,1/27/2016,pi1,Tricia Gonwa
WBK8018 Evaluating the Impact of Commitment Savings Accounts Linked to Mobile Money,World Bank,Grant Award,North Volta Rural Bank (NVRB) Ahoboa Savings Scale-Up,8/28/2015,1,1,Ghana,1.0,,1/27/2016,pi2,Robert Osei
WBK8018 Evaluating the Impact of Commitment Savings Accounts Linked to Mobile Money,World Bank,Grant Award,North Volta Rural Bank (NVRB) Ahoboa Savings Scale-Up,8/28/2015,1,1,Ghana,1.0,,1/27/2016,pi3,Simone Schaner
WBK8018 Evaluating the Impact of Commitment Savings Accounts Linked to Mobile Money,World Bank,Grant Award,North Volta Rural Bank (NVRB) Ahoboa Savings Scale-Up,8/28/2015,1,1,Ghana,1.0,,1/27/2016,pi4,Niklas Buehren
WBK8018 Evaluating the Impact of Commitment Savings Accounts Linked to Mobile Money,World Bank,Grant Award,North Volta Rural Bank (NVRB) Ahoboa Savings Scale-Up,8/28/2015,1,1,Ghana,1.0,,1/27/2016,pi5,Markus Goldstein
WBK8018 Evaluating the Impact of Commitment Savings Accounts Linked to Mobile Money,World Bank,Grant Award,North Volta Rural Bank (NVRB) Ahoboa Savings Scale-Up,8/28/2015,1,1,Ghana,1.0,,1/27/2016,pi6,Leora Klapper
WBK6843 WB #7166843 North Volta Ghana,World Bank,Grant Award,North Volta Rural Bank (NVRB) Salaried Workers,10/17/2014,1,1,Ghana,0.0,,4/26/2013,pi1,Tricia Gonwa
WBK6843 WB #7166843 North Volta Ghana,World Bank,Grant Award,North Volta Rural Bank (NVRB) Salaried Workers,10/17/2014,1,1,Ghana,0.0,,4/26/2013,pi2,Robert Osei
WBK6843 WB #7166843 North Volta Ghana,World Bank,Grant Award,North Volta Rural Bank (NVRB) Salaried Workers,10/17/2014,1,1,Ghana,0.0,,4/26/2013,pi3,Simone Schaner
WBK6843 WB #7166843 North Volta Ghana,World Bank,Grant Award,North Volta Rural Bank (NVRB) Salaried Workers,10/17/2014,1,1,Ghana,0.0,,4/26/2013,pi4,Markus Goldstein
WBK6843 WB #7166843 North Volta Ghana,World Bank,Grant Award,North Volta Rural Bank (NVRB) Salaried Workers,10/17/2014,1,1,Ghana,0.0,,4/26/2013,pi5,Leora Klapper
Calling Women to Public Service,Massachusetts Institute of Technology (MIT),Grant Proposal,Nudging Good Politicians,3/4/2016,0,1,Philippines,0.0,,3/4/2016,pi1,Nico Ravanilla
EFD0001 - Supplemental Funding for Nuru Energy Project (Rwanda),Environment for Development Secretariat,Grant Award,Nuru Energy,7/6/2017,1,1,Rwanda,0.0,,8/12/2019,pi1,Martine Visser
EFD0001 - Supplemental Funding for Nuru Energy Project (Rwanda),Environment for Development Secretariat,Grant Award,Nuru Energy,7/6/2017,1,1,Rwanda,0.0,,8/12/2019,pi2,"Manuel Barron 
PhD Rowan Clarke"
Nutrition Incentives and the Productivity of RMG Workers in Bangladesh,Global Innovation Fund,Grant Proposal,Nutrition & productivity,3/8/2021,0,1,Bangladesh,0.0,,2/28/2021,pi1,Christopher Woodruff
Nutrition Incentives and the Productivity of RMG Workers in Bangladesh,Global Innovation Fund,Grant Proposal,Nutrition & productivity,3/8/2021,0,1,Bangladesh,0.0,,2/28/2021,pi2,Shyamal Chowdhury
Tools to Improve Parental Recognition of Developmental Deficits in Children: A Randomized Experiment in Zambia,Harvard School of Public Health,Grant Proposal,Nutrition - Stunting (Phase II),11/4/2015,0,1,Zambia,0.0,,11/4/2015,pi1,Gunther Fink
Tools to Improve Parental Recognition of Developmental Deficits in Children: A Randomized Experiment in Zambia,Harvard School of Public Health,Grant Proposal,Nutrition - Stunting (Phase II),11/4/2015,0,1,Zambia,0.0,,11/4/2015,pi2,Peter C Rockers
IDB RFP,Inter-American Development Bank (IDB),Grant Proposal,Nutrition Nicaragua,10/7/2019,0,1,LAC-Other,0.0,,10/7/2019,pi1,Emma Ingrid Naslund-Hadley
EUE0001 EU Strengthening the resilience of vulnerable communities in northern areas in BK (Consortium) (Burkina Faso),Delegation of the European Union in Burkina Faso,Grant Award,Nutrition insecurity - Emergency Trust Fund,3/12/2018,1,1,Francophone West Africa,0.0,,7/6/2018,pi1,Adrien Bouguen
EUE0001 EU Strengthening the resilience of vulnerable communities in northern areas in BK (Consortium) (Burkina Faso),Delegation of the European Union in Burkina Faso,Grant Award,Nutrition insecurity - Emergency Trust Fund,3/12/2018,1,1,Francophone West Africa,0.0,,7/6/2018,pi2,Andrew Dillon
CRS-20-10002: Agriculture-Sensitive Agriculture in Chin State (Myanmar),Catholic Relief Services (CRS),Grant Award,Nutrition-Sensitive Agriculture in Chin State - Myanmar,3/6/2020,1,1,Myanmar,0.0,Allocation,11/26/2020,pi1,Elisa Maffioli
"UCAT-20-20056 - DigiFI OISL Mobile Banking Pilot, Ghana",University of Cape Town,Grant Award,OISL Mobile Banking,3/20/2020,1,1,Ghana,0.0,Allocation,8/10/2021,pi1,Emma Riley
"UCAT-20-20056 - DigiFI OISL Mobile Banking Pilot, Ghana",University of Cape Town,Grant Award,OISL Mobile Banking,3/20/2020,1,1,Ghana,0.0,Allocation,8/10/2021,pi2,Abu S. Shonchoy
CHAI-24-10001: ORS ZINC Project (Nigeria),Clinton Health Access Initiative (CHAI),Grant Award,ORS Zinc Project,1/17/2024,1,1,Nigeria,0.0,Allocation,4/12/2024,pi1,Zachary Wagner
CHAI-24-10001: ORS ZINC Project (Nigeria),Clinton Health Access Initiative (CHAI),Grant Award,ORS Zinc Project,1/17/2024,1,1,Nigeria,0.0,Allocation,4/12/2024,pi2,Ishita Ghai
CHAI-24-10001: ORS ZINC Project (Nigeria),Clinton Health Access Initiative (CHAI),Grant Award,ORS Zinc Project,1/17/2024,1,1,Nigeria,0.0,Allocation,4/12/2024,pi3,Stephanie Bonds
CHAI-24-10001: ORS ZINC Project (Nigeria),Clinton Health Access Initiative (CHAI),Grant Award,ORS Zinc Project,1/17/2024,1,1,Nigeria,0.0,Allocation,4/12/2024,pi4,Nneka Osadolor
"IGC Proposal on Farmer Training to Improve OSH and Productivity in Global Agricultural Supply Chains, Myanmar",International Growth Centre (IGC),Grant Proposal,OSH and Productivity in Global Agricultural Supply Chains,2/12/2020,0,1,Myanmar,0.0,,2/12/2020,pi1,Markus Taussig
IKEA-22-10003: IPA IKEA Foundation Displaced Livelihoods Initiative (with J-PAL),IKEA Foundation,Grant Award,On the Microeconomic Foundations of the Role of Immigration on Growth,4/29/2022,1,1,,1.0,External Subaward,11/18/2022,pi1,Paul Gertler
IKEA-22-10003: IPA IKEA Foundation Displaced Livelihoods Initiative (with J-PAL),IKEA Foundation,Grant Award,On the Microeconomic Foundations of the Role of Immigration on Growth,4/29/2022,1,1,,1.0,External Subaward,11/18/2022,pi2,Raimundo Undurraga
IKEA-22-10003: IPA IKEA Foundation Displaced Livelihoods Initiative (with J-PAL),IKEA Foundation,Grant Award,On the Microeconomic Foundations of the Role of Immigration on Growth,4/29/2022,1,1,,1.0,External Subaward,11/18/2022,pi3,Ana Maria Montoya
