Opportunity Name,Organization/Household Name: Organization/Household Name,Opportunity Record Type,Project: Project Name,Proposal Submission Date,Won Proposal,Opportunities Count,Project: Country Program: Country Program Name,Project: Research Not Managed by IPA,Allocation Type,Original Close Date,pi_position,pi_name
USDOS-20-10001 Human Trafficking Research Initiative,United States Department of State,Grant Award,(India) Pilot to identify strategies that enable safer migration for women,9/1/2020,1,1,,0.0,External Subaward,9/1/2020,pi1,Malika Basu
MEL 100mil pisos para jugar,UNACEM,Grant Proposal,100mil pisos para jugar - Impact Evaluation,1/24/2025,0,1,Peru,0.0,Allocation,1/31/2025,pi1,Paul Gertler
MEL 100mil pisos para jugar,UNACEM,Grant Proposal,100mil pisos para jugar - Impact Evaluation,1/24/2025,0,1,Peru,0.0,Allocation,1/31/2025,pi2,Manuel Barron
J-PAL PPE,Massachusetts Institute of Technology (MIT),Grant Proposal,4-H Program,9/22/2019,0,1,Sierra Leone,0.0,,9/22/2019,pi1,Christopher Udry
J-PAL PPE,Massachusetts Institute of Technology (MIT),Grant Proposal,4-H Program,9/22/2019,0,1,Sierra Leone,0.0,,9/22/2019,pi2,PhD Jimmy Lee
FID for 4-H Spillover,Fund for Innovation in Development (FID),Grant Proposal,4-H Spillovers,5/7/2024,0,1,Sierra Leone,0.0,Allocation,5/7/2024,pi1,Christopher Udry
FID for 4-H Spillover,Fund for Innovation in Development (FID),Grant Proposal,4-H Spillovers,5/7/2024,0,1,Sierra Leone,0.0,Allocation,5/7/2024,pi2,Jimmy Lee
GPI A2i Capacity Building,Massachusetts Institute of Technology (MIT),Grant Proposal,A2i Capacity Building,6/30/2016,0,1,Bangladesh,0.0,,6/30/2016,pi1,Mushfiq Mobarak
ADB-18-10003: Graduation Additional Baseline Surveys (Philippines),Asian Development Bank (ADB),Grant Award,ADB Graduation of the Ultra Poor Pilot,10/29/2018,1,1,Philippines,0.0,,11/29/2018,pi1,Dean Karlan
ADB-18-10003: Graduation Additional Baseline Surveys (Philippines),Asian Development Bank (ADB),Grant Award,ADB Graduation of the Ultra Poor Pilot,10/29/2018,1,1,Philippines,0.0,,11/29/2018,pi2,Nathanael Goldberg
ADB-18-10003: Graduation Additional Baseline Surveys (Philippines),Asian Development Bank (ADB),Grant Award,ADB Graduation of the Ultra Poor Pilot,10/29/2018,1,1,Philippines,0.0,,11/29/2018,pi3,Emily Beam
ADB-20-10005: ADB SME Fiji 2 (Philippines),Asian Development Bank (ADB),Grant Award,ADB SME Fiji,5/15/2020,1,1,Philippines,0.0,Allocation,6/4/2020,pi1,Russell Toth
"IKEA-22-10002:Evaluation of AGRA ?Building Regenerative, Sustainable & Profitable Agric. Transformative Systems? (Kenya)",IKEA Foundation,Grant Award,AGRA Evaluation for the Regenerative Pulses Program in Kenya,3/17/2022,1,1,Kenya,0.0,Allocation,8/25/2022,pi1,Nathan Fiala
"IKEA-22-10002:Evaluation of AGRA ?Building Regenerative, Sustainable & Profitable Agric. Transformative Systems? (Kenya)",IKEA Foundation,Grant Award,AGRA Evaluation for the Regenerative Pulses Program in Kenya,3/17/2022,1,1,Kenya,0.0,Allocation,8/25/2022,pi2,Simon Wagura Ndiritu
USDOS-20-10001 Human Trafficking Research Initiative,United States Department of State,Grant Award,AI-Integrated Tools for Improved Civil Prosecution Outcomes in Human Trafficking,9/1/2020,1,1,LAC-Other,1.0,External Subaward,9/1/2020,pi1,Grant Miller
IGC9404 Strengthening state capacity in health (Sierra Leone),International Growth Centre (IGC),Grant Award,ANC Bracelets,3/18/2016,1,1,Sierra Leone,0.0,,11/11/2016,pi1,Anne Karing
USAID Proposal for CNFA project,United States Agency for International Development (USAID),Grant Proposal,ARC program,6/25/2018,0,1,Francophone West Africa,0.0,,6/26/2018,pi1,Harounan Kazianga
USAID Proposal for CNFA project,United States Agency for International Development (USAID),Grant Proposal,ARC program,6/25/2018,0,1,Francophone West Africa,0.0,,6/26/2018,pi2,Eugénie Maïga
USAID Proposal for CNFA project,United States Agency for International Development (USAID),Grant Proposal,ARC program,6/25/2018,0,1,Francophone West Africa,0.0,,6/26/2018,pi3,Andrew Dillon
SIEF LOI for ARK Evaluation,World Bank,Grant Proposal,ARK Evaluation,1/30/2015,0,1,Kenya,0.0,,1/30/2015,pi1,Jacobus Cilliers
IKEA-22-10003: IPA IKEA Foundation Displaced Livelihoods Initiative (with J-PAL),IKEA Foundation,Grant Award,Academic Lead Funding to Airbel Impact Lab,4/29/2022,1,1,,1.0,External Subaward,11/18/2022,pi1,Jeannie Annan
EDI Peru Proposal,Center for Effective Global Action (CEGA),Grant Proposal,Accountability and capacities to improve budget execution,2/22/2017,0,1,Peru,0.0,,2/13/2017,pi1,Leonard Wantchekon
EDI Peru Proposal,Center for Effective Global Action (CEGA),Grant Proposal,Accountability and capacities to improve budget execution,2/22/2017,0,1,Peru,0.0,,2/13/2017,pi2,Renard Sexton
MIT4060: GI Proposal for Accountability leaders and firms (Peru),Massachusetts Institute of Technology (MIT),Grant Award,Accountability leaders and firms (Pilot),9/18/2015,1,1,Peru,0.0,,3/28/2016,pi1,Renard Sexton
BMG0014 Econ & Fin Models for Pricing & Setting Sanitation Tariffs for the Urban Poor,Gates Foundation,Grant Award,Accra Sanitation,9/25/2014,1,1,Ghana,0.0,,10/29/2014,pi1,Molly Lipscomb
BMG0014 Econ & Fin Models for Pricing & Setting Sanitation Tariffs for the Urban Poor,Gates Foundation,Grant Award,Accra Sanitation,9/25/2014,1,1,Ghana,0.0,,10/29/2014,pi2,Terence Johnson
Aceli Africa Agri-SMEs Data Collection in Zambia,International Growth Centre (IGC),Grant Proposal,Aceli Africa Agri-SMES Data collection,8/31/2024,0,1,Zambia,0.0,Allocation,8/31/2024,pi1,Tamara Billima Mulenga
CEDIL Proposal for Acting upon evidence to improve nutrition in Myanmar,Centre of Excellence for Development Impact and Learning (CEDIL),Grant Proposal,Acting upon evidence to improve nutrition in Myanmar,5/14/2019,0,1,Myanmar,0.0,,5/14/2019,pi1,Elisa Maffioli
New Proposal for Action against FGM in Burkina Faso (SUBCONTRACT),Bocconi University,Grant Proposal,Action against FGM in Burkina Faso,1/26/2017,0,1,Francophone West Africa,0.0,,1/26/2017,pi1,Eliana La Ferrara
Active-Learning Teacher Training in Rural Tanzanian Secondary Schools,Massachusetts Institute of Technology (MIT),Grant Award,Active-Learning Teacher Training in Rural Tanzanian Secondary Schools,9/22/2019,1,1,Tanzania,0.0,,9/22/2020,pi1,Paul Glewwe
Active-Learning Teacher Training in Rural Tanzanian Secondary Schools,Massachusetts Institute of Technology (MIT),Grant Award,Active-Learning Teacher Training in Rural Tanzanian Secondary Schools,9/22/2019,1,1,Tanzania,0.0,,9/22/2020,pi2,Lindsey Novak
Active-Learning Teacher Training in Rural Tanzanian Secondary Schools,Massachusetts Institute of Technology (MIT),Grant Award,Active-Learning Teacher Training in Rural Tanzanian Secondary Schools,9/22/2019,1,1,Tanzania,0.0,,9/22/2020,pi3,Aine Seitz McCarthy
BMG-20-10003 COVID-19 Research for Effective COVID Response (RECOVR) Gender Initiative,Gates Foundation,Grant Award,Addressing the Baby Profit Gap Testing interventions to boost profits,5/29/2020,1,1,Kenya,1.0,External Subaward,8/26/2020,pi2,Solène Delacourt
BMG-20-10003 COVID-19 Research for Effective COVID Response (RECOVR) Gender Initiative,Gates Foundation,Grant Award,Addressing the Baby Profit Gap Testing interventions to boost profits,5/29/2020,1,1,Kenya,1.0,External Subaward,8/26/2020,pi3,Anne Fitzpatrick
New Proposal for Adoption of Farmer Insurance,International Initiative for Impact Evaluation (3ie),Grant Proposal,Adoption of Farmer Insurance,7/17/2016,0,1,Peru,0.0,,7/17/2016,pi1,Alex Armand
SLO-20-10001 - Sloan Foundation Research Methods Competitive Fund (United States),Alfred P. Sloan Foundation,Grant Award,Advanced Research Methods in Social Sciences,10/15/2020,1,1,,0.0,Allocation,11/13/2020,pi1,Steven Glazerman
TGF-21-10002: Two Generations for Impact: Advancing Evidence-based Multi-gen Programming (Tanzania),Bainum Family Foundation,Grant Award,Advancing Evidence-based Multi-generational Programm,3/15/2021,1,1,Tanzania,0.0,External Subaward,6/7/2021,pi1,Sarah Kabay
STA-18-10004 Adverse Selection in Civil Service: Scoping Study in Tanzania,Stanford University,Grant Award,Adverse Shocks Scoping Study,2/2/2018,1,1,Tanzania,0.0,,2/2/2018,pi1,Katherine Casey
STA-18-10004 Adverse Selection in Civil Service: Scoping Study in Tanzania,Stanford University,Grant Award,Adverse Shocks Scoping Study,2/2/2018,1,1,Tanzania,0.0,,2/2/2018,pi2,Edward Lazear
BMG4903 Financial Health (Phase 2): Convert Financial Health Indicators to metrics,Gates Foundation,Grant Award,Afghanistan Mobile Salary Payments,5/4/2017,1,1,,1.0,Allocation,5/4/2017,pi1,Tarek Ghani
BMG4903 Financial Health (Phase 2): Convert Financial Health Indicators to metrics,Gates Foundation,Grant Award,Afghanistan Mobile Salary Payments,5/4/2017,1,1,,1.0,Allocation,5/4/2017,pi2,Joshua Blumenstock
BMG4903 Financial Health (Phase 2): Convert Financial Health Indicators to metrics,Gates Foundation,Grant Award,Afghanistan Mobile Salary Payments,5/4/2017,1,1,,1.0,Allocation,5/4/2017,pi3,Stefano Fiorin
BMG4903 Financial Health (Phase 2): Convert Financial Health Indicators to metrics,Gates Foundation,Grant Award,Afghanistan Mobile Salary Payments,5/4/2017,1,1,,1.0,Allocation,5/4/2017,pi4,Michael Callen
CGIAR SPLA Paddy Wedder Project,Consultative Group on International Agricultural Research (CGIAR),Grant Proposal,AfricaRice CGIAR/SPLA Paddy Weeder Project,7/15/2020,0,1,Uganda,0.0,,7/15/2020,pi1,Lori Beaman
CGIAR SPLA Paddy Wedder Project,Consultative Group on International Agricultural Research (CGIAR),Grant Proposal,AfricaRice CGIAR/SPLA Paddy Weeder Project,7/15/2020,0,1,Uganda,0.0,,7/15/2020,pi2,Emilia Tjernström
CGIAR SPLA Paddy Wedder Project,Consultative Group on International Agricultural Research (CGIAR),Grant Proposal,AfricaRice CGIAR/SPLA Paddy Weeder Project,7/15/2020,0,1,Uganda,0.0,,7/15/2020,pi3,Jeremy Magruder
MSI-19-10001 AHME Dissemination Event (Kenya),MSI Reproductive Choices,Grant Award,African Health Market for Equity (AHME),1/15/2019,1,1,Kenya,0.0,,3/15/2019,pi1,Paul Gertler
MSI-19-10001 AHME Dissemination Event (Kenya),MSI Reproductive Choices,Grant Award,African Health Market for Equity (AHME),1/15/2019,1,1,Kenya,0.0,,3/15/2019,pi10,May Sudhinaraset
MSI-19-10001 AHME Dissemination Event (Kenya),MSI Reproductive Choices,Grant Award,African Health Market for Equity (AHME),1/15/2019,1,1,Kenya,0.0,,3/15/2019,pi11,Nirali Chakraborty
MSI-19-10001 AHME Dissemination Event (Kenya),MSI Reproductive Choices,Grant Award,African Health Market for Equity (AHME),1/15/2019,1,1,Kenya,0.0,,3/15/2019,pi12,Mwende Mbondo
MSI-19-10001 AHME Dissemination Event (Kenya),MSI Reproductive Choices,Grant Award,African Health Market for Equity (AHME),1/15/2019,1,1,Kenya,0.0,,3/15/2019,pi13,"Geoffrey Olado Oduasi 
PhD David Contreras Loya"
MSI-19-10001 AHME Dissemination Event (Kenya),MSI Reproductive Choices,Grant Award,African Health Market for Equity (AHME),1/15/2019,1,1,Kenya,0.0,,3/15/2019,pi14,Ada Kwan
MSI-19-10001 AHME Dissemination Event (Kenya),MSI Reproductive Choices,Grant Award,African Health Market for Equity (AHME),1/15/2019,1,1,Kenya,0.0,,3/15/2019,pi2,Lauren Suchman
MSI-19-10001 AHME Dissemination Event (Kenya),MSI Reproductive Choices,Grant Award,African Health Market for Equity (AHME),1/15/2019,1,1,Kenya,0.0,,3/15/2019,pi3,Rachel Gardner
MSI-19-10001 AHME Dissemination Event (Kenya),MSI Reproductive Choices,Grant Award,African Health Market for Equity (AHME),1/15/2019,1,1,Kenya,0.0,,3/15/2019,pi4,Sergio Bautista
MSI-19-10001 AHME Dissemination Event (Kenya),MSI Reproductive Choices,Grant Award,African Health Market for Equity (AHME),1/15/2019,1,1,Kenya,0.0,,3/15/2019,pi5,Jishnu Das
MSI-19-10001 AHME Dissemination Event (Kenya),MSI Reproductive Choices,Grant Award,African Health Market for Equity (AHME),1/15/2019,1,1,Kenya,0.0,,3/15/2019,pi6,Sebastian Galiani
MSI-19-10001 AHME Dissemination Event (Kenya),MSI Reproductive Choices,Grant Award,African Health Market for Equity (AHME),1/15/2019,1,1,Kenya,0.0,,3/15/2019,pi7,Juan Munoz
MSI-19-10001 AHME Dissemination Event (Kenya),MSI Reproductive Choices,Grant Award,African Health Market for Equity (AHME),1/15/2019,1,1,Kenya,0.0,,3/15/2019,pi8,Joshua Gruber
MSI-19-10001 AHME Dissemination Event (Kenya),MSI Reproductive Choices,Grant Award,African Health Market for Equity (AHME),1/15/2019,1,1,Kenya,0.0,,3/15/2019,pi9,Dominic Montagu
DA-24-10002: AgriBOOST study,Delivery Associates,Grant Award,AgriBOOST study,6/28/2024,1,1,Philippines,0.0,Allocation,12/16/2024,pi1,Emily Breza
DA-24-10002: AgriBOOST study,Delivery Associates,Grant Award,AgriBOOST study,6/28/2024,1,1,Philippines,0.0,Allocation,12/16/2024,pi2,Eu-Wayne Mok
JPAL KCAI Agricultura Familiar,Massachusetts Institute of Technology (MIT),Grant Proposal,Agricultura Familiar,10/20/2021,0,1,LAC-Other,0.0,,9/21/2021,pi1,Paul Gertler
WBK6083 Village Mapping for MNW (Won),World Bank,Grant Award,Agricultural Development Programme - Malawi,6/12/2015,1,1,Malawi,0.0,,7/21/2015,pi1,Mushfiq Mobarak
WBK6083 Village Mapping for MNW (Won),World Bank,Grant Award,Agricultural Development Programme - Malawi,6/12/2015,1,1,Malawi,0.0,,7/21/2015,pi2,Ariel BenYishay
K-CAI Agricultural Insurance,J-PAL North America,Grant Proposal,Agricultural Insurance Mexico,3/21/2023,0,1,Mexico,0.0,Allocation,3/21/2023,pi1,Mauricio Roomero
K-CAI Agricultural Insurance,J-PAL North America,Grant Proposal,Agricultural Insurance Mexico,3/21/2023,0,1,Mexico,0.0,Allocation,3/21/2023,pi2,Carlos Muñoz Piña
ATAL Full Proposal - Ag Subsidies,Massachusetts Institute of Technology (MIT),Grant Proposal,Agricultural Subsidies & Savings and Farm Reinvestment - ATAI pilot,12/2/2015,0,1,Kenya,1.0,,12/2/2015,pi1,Jonathan Robinson
ATAL Full Proposal - Ag Subsidies,Massachusetts Institute of Technology (MIT),Grant Proposal,Agricultural Subsidies & Savings and Farm Reinvestment - ATAI pilot,12/2/2015,0,1,Kenya,1.0,,12/2/2015,pi2,Shilpa Aggarwal
MIT3868 ATAI for Agricultural Technology Evaluation and Adoption (STRIP) Kenya,Massachusetts Institute of Technology (MIT),Grant Award,Agricultural Technology Evaluation and Adoption (STRIP),1/23/2015,1,1,Kenya,0.0,,6/11/2015,pi1,Pascaline Dupas
MIT3868 ATAI for Agricultural Technology Evaluation and Adoption (STRIP) Kenya,Massachusetts Institute of Technology (MIT),Grant Award,Agricultural Technology Evaluation and Adoption (STRIP),1/23/2015,1,1,Kenya,0.0,,6/11/2015,pi2,Erik Snowberg
MIT3868 ATAI for Agricultural Technology Evaluation and Adoption (STRIP) Kenya,Massachusetts Institute of Technology (MIT),Grant Award,Agricultural Technology Evaluation and Adoption (STRIP),1/23/2015,1,1,Kenya,0.0,,6/11/2015,pi3,Sylvain Chassang
HSG-24-10002: Agriculture Insurance Technology (Ghana),Universitat St. Gallen,Grant Award,Agriculture Insurance Technology,2/15/2024,1,1,Ghana,0.0,Allocation,3/8/2024,pi1,Ruo Jia
HSG-24-10002: Agriculture Insurance Technology (Ghana),Universitat St. Gallen,Grant Award,Agriculture Insurance Technology,2/15/2024,1,1,Ghana,0.0,Allocation,3/8/2024,pi2,Yang Liu
HSG-24-10002: Agriculture Insurance Technology (Ghana),Universitat St. Gallen,Grant Award,Agriculture Insurance Technology,2/15/2024,1,1,Ghana,0.0,Allocation,3/8/2024,pi3,Martin Eling
CEBP Proposal for Agriculture Microloans,Coalition for Evidence-Based Policy,Grant Proposal,Agriculture Microloans,2/14/2014,0,1,,0.0,,3/19/2014,pi1,Dean Karlan
CEBP Proposal for Agriculture Microloans,Coalition for Evidence-Based Policy,Grant Proposal,Agriculture Microloans,2/14/2014,0,1,,0.0,,3/19/2014,pi2,Kelly Bidwell
CEBP Proposal for Agriculture Microloans,Coalition for Evidence-Based Policy,Grant Proposal,Agriculture Microloans,2/14/2014,0,1,,0.0,,3/19/2014,pi3,Nathaniel Higgins
CEBP Proposal for Agriculture Microloans,Coalition for Evidence-Based Policy,Grant Proposal,Agriculture Microloans,2/14/2014,0,1,,0.0,,3/19/2014,pi4,Jonathan Zinman
CEBP Proposal for Agriculture Microloans,Coalition for Evidence-Based Policy,Grant Proposal,Agriculture Microloans,2/14/2014,0,1,,0.0,,3/19/2014,pi5,Donald Green
YAL0035 - Bypass Aid and Local Accountability  Informational Intervention (Uganda),Yale University,Grant Award,Aid Data - Scaled Up,1/23/2017,1,1,Uganda,0.0,,2/28/2017,pi1,Katharine Baldwin
YAL0035 - Bypass Aid and Local Accountability  Informational Intervention (Uganda),Yale University,Grant Award,Aid Data - Scaled Up,1/23/2017,1,1,Uganda,0.0,,2/28/2017,pi2,Matthew Winters
YAL0028 Aid Data Sub-contract for Aid Flow Information (Uganda),Yale University,Grant Award,Aid Flow Information - Pilot,1/30/2015,1,1,Uganda,0.0,,9/9/2015,pi1,Katharine Baldwin
IDB-22-10054 - Indoor and Outdoor Air Pollution as Linked Public and Private Goods (Colombia),Inter-American Development Bank (IDB),Grant Award,Air Pollution as Linked Public and Private Goods (AP-PPG),10/24/2022,1,1,Colombia,0.0,Allocation,11/10/2022,pi1,Bridget Hoffmann
WAR-23-10001 - Improving Residential Indoor Air Quality in Mexico City: Effects on Wellbeing and Productivity (Mexico),University of Warwick,Grant Award,Air Quality Mexico,8/1/2022,1,1,Mexico,0.0,Allocation,4/6/2023,pi1,Ludovica Gazze
WAR-23-10001 - Improving Residential Indoor Air Quality in Mexico City: Effects on Wellbeing and Productivity (Mexico),University of Warwick,Grant Award,Air Quality Mexico,8/1/2022,1,1,Mexico,0.0,Allocation,4/6/2023,pi2,Bridget Hoffmann
IDB-23-10062- RCT-Evaluating Effect of Indoor Air Quality on Worker Productivity (Colombia)- Stage 2,Inter-American Development Bank (IDB),Grant Award,Air Quality on Worker Productivity (AQ-WP),12/18/2023,1,1,Colombia,0.0,Allocation,12/18/2023,pi1,Allen Blackman
IDB-23-10062- RCT-Evaluating Effect of Indoor Air Quality on Worker Productivity (Colombia)- Stage 2,Inter-American Development Bank (IDB),Grant Award,Air Quality on Worker Productivity (AQ-WP),12/18/2023,1,1,Colombia,0.0,Allocation,12/18/2023,pi2,Bridget Hoffmann
IDB-19-10004: Air pollution IDB (Mexico),Inter-American Development Bank (IDB),Grant Award,Air pollution IDB,1/11/2019,1,1,Mexico,0.0,,4/23/2019,pi1,Rema Hanna
WBK-18-20011: Air Pollution and Labor Productivity in Dhaka (Bangladesh),World Bank,Grant Award,Air pollution and labor productivity,12/2/2018,1,1,Bangladesh,0.0,,6/12/2019,pi1,Teevrat Garg
UWM-19-10001 Air Pollution Human Capital and Cognition,University of Wisconsin-Madison,Grant Award,Air pollution human capital and cognition,9/21/2018,1,1,Kenya,0.0,Allocation,7/23/2019,pi1,Emilia Tjernström
USDOS-23-10003: Alternative Justice Mechanisms in Mexico Evidence Based Interventions (Mexico)- Canceled,United States Department of State,Grant Award,Alternative Justice Mechanisms in Mexico Evidence Based Interventions,10/11/2022,1,1,Mexico,0.0,Allocation,9/8/2023,pi1,Rodrigo Canales
BMG-19-10001 FIP Consumer Protection,Gates Foundation,Grant Award,Analysis of transactional data to monitor consumer risks in digital credit,8/29/2019,1,1,Kenya,0.0,Allocation,10/30/2019,pi1,Rafe Mazer
UNHCR-22-10006 - PEPFF análisis in Colombia Phase 2 (Colombia),United Nations High Commissioner for Refugees (UNHCR),Grant Award,Analyzing the Impact of PEPFF in Colombia (PEPFF),11/10/2022,1,1,Colombia,0.0,Allocation,11/18/2022,pi1,Theresa Beltramo
UNHCR-22-10006 - PEPFF análisis in Colombia Phase 2 (Colombia),United Nations High Commissioner for Refugees (UNHCR),Grant Award,Analyzing the Impact of PEPFF in Colombia (PEPFF),11/10/2022,1,1,Colombia,0.0,Allocation,11/18/2022,pi2,Carlos Santiago Guzmán Gutiérrez
UNHCR-22-10006 - PEPFF análisis in Colombia Phase 2 (Colombia),United Nations High Commissioner for Refugees (UNHCR),Grant Award,Analyzing the Impact of PEPFF in Colombia (PEPFF),11/10/2022,1,1,Colombia,0.0,Allocation,11/18/2022,pi3,Craig Loschmann
DIV for Anti-Trafficking Curriculum,United States Agency for International Development (USAID),Grant Proposal,Anti-Trafficking Curriculum in Liberia (Flipcharts),12/22/2022,0,1,Sierra Leone,0.0,Allocation,10/31/2022,pi1,Guy Grossman
DIV for Anti-Trafficking Curriculum,United States Agency for International Development (USAID),Grant Proposal,Anti-Trafficking Curriculum in Liberia (Flipcharts),12/22/2022,0,1,Sierra Leone,0.0,Allocation,10/31/2022,pi2,Cecilia Mo
DIV for Anti-Trafficking Curriculum,United States Agency for International Development (USAID),Grant Proposal,Anti-Trafficking Curriculum in Liberia (Flipcharts),12/22/2022,0,1,Sierra Leone,0.0,Allocation,10/31/2022,pi3,Alexandra Hartman
FCDO-24-10001: Strategic Impact Evaluation and Learning (SIEL),Foreign Commonwealth & Development Office (FCDO) ACCOUNTABLE GRANT AGREEMENT,Grant Award,Anticipatory Education Support During Climate Crises in Kenya,8/25/2023,1,1,Kenya,0.0,External Subaward,3/8/2024,pi1,Stefan Dercon
FCDO-24-10001: Strategic Impact Evaluation and Learning (SIEL),Foreign Commonwealth & Development Office (FCDO) ACCOUNTABLE GRANT AGREEMENT,Grant Award,Anticipatory Education Support During Climate Crises in Kenya,8/25/2023,1,1,Kenya,0.0,External Subaward,3/8/2024,pi2,Noam Angrist
FCDO-24-10001: Strategic Impact Evaluation and Learning (SIEL),Foreign Commonwealth & Development Office (FCDO) ACCOUNTABLE GRANT AGREEMENT,Grant Award,Anticipatory Education Support During Climate Crises in Kenya,8/25/2023,1,1,Kenya,0.0,External Subaward,3/8/2024,pi3,Rocco Zizzamia
FCDO-24-10001: Strategic Impact Evaluation and Learning (SIEL),Foreign Commonwealth & Development Office (FCDO) ACCOUNTABLE GRANT AGREEMENT,Grant Award,Anticipatory Education Support During Climate Crises in Kenya,8/25/2023,1,1,Kenya,0.0,External Subaward,3/8/2024,pi4,Nithya Srinivasan
FID for Antimalarial Fake Drugs,Fund for Innovation in Development (FID),Grant Proposal,Antimalarial Fake Drugs,7/2/2021,0,1,Nigeria,0.0,,7/2/2021,pi1,Elisa Maffioli
SVRI Apapacho,Sexual Violence Research Initiative,Grant Proposal,Apapacho Children violence prevention in Colombia,7/6/2023,0,1,Colombia,0.0,Allocation,7/6/2023,pi1,Jorge Cuartas
SVRI Apapacho,Sexual Violence Research Initiative,Grant Proposal,Apapacho Children violence prevention in Colombia,7/6/2023,0,1,Colombia,0.0,Allocation,7/6/2023,pi2,Luciana Beccassino
SVRI Apapacho,Sexual Violence Research Initiative,Grant Proposal,Apapacho Children violence prevention in Colombia,7/6/2023,0,1,Colombia,0.0,Allocation,7/6/2023,pi3,Juliana Borbón
APO-19-10002: Aporta - design of the ToC and monitoring instrument (Peru),Aporta Desarrollo Sostenible,Grant Award,Aporta - design of the ToC and monitoring instrument,1/3/2019,1,1,Peru,0.0,,2/4/2019,pi1,Orazio Attanasio
APO0003: AportaLab - Early Childhood Development (Peru),Aporta Desarrollo Sostenible,Grant Award,AportaLab - Early Childhood Development,2/5/2018,1,1,Peru,0.0,,9/6/2018,pi1,Orazio Attanasio
WBK8780 Field Games Data Collection for Ghana Commercial Agriculture Project (GCAP) Ariku Farms Impact Evaluation,World Bank,Grant Award,Ariku Farms Impact Evaluation,5/18/2016,1,1,Ghana,0.0,,4/14/2016,pi1,Tricia Gonwa
WBK8780 Field Games Data Collection for Ghana Commercial Agriculture Project (GCAP) Ariku Farms Impact Evaluation,World Bank,Grant Award,Ariku Farms Impact Evaluation,5/18/2016,1,1,Ghana,0.0,,4/14/2016,pi2,Angeli Kirk
WBK8780 Field Games Data Collection for Ghana Commercial Agriculture Project (GCAP) Ariku Farms Impact Evaluation,World Bank,Grant Award,Ariku Farms Impact Evaluation,5/18/2016,1,1,Ghana,0.0,,4/14/2016,pi3,Markus Goldstein
Columbia Arsenic Wells (IPA would receive a subgrant),Columbia University,Grant Proposal,Arsenic Wells,3/31/2016,0,1,Bangladesh,0.0,,3/31/2016,pi1,Mushfiq Mobarak
Columbia Arsenic Wells (IPA would receive a subgrant),Columbia University,Grant Proposal,Arsenic Wells,3/31/2016,0,1,Bangladesh,0.0,,3/31/2016,pi2,Lex van Geen
URosario-20-10001: URosario Project (Colombia),Universidad del Rosario,Grant Award,Artificial Intelligence Mining (AIM),9/6/2019,1,1,Colombia,0.0,Allocation,2/25/2020,pi1,Santiago Saavedra Pineda
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Asking About Violence (Mexico),9/28/2015,1,1,,0.0,External Subaward,4/9/2018,pi1,Lauren Young
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Asking About Violence (Mexico),9/28/2015,1,1,,0.0,External Subaward,4/9/2018,pi2,Graeme Blair
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Asking About Violence (Mexico),9/28/2015,1,1,,0.0,External Subaward,4/9/2018,pi3,Rebecca Littman
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Asking About Violence (Mexico),9/28/2015,1,1,,0.0,External Subaward,4/9/2018,pi4,Andres Moya
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Asking About Violence (Mexico),9/28/2015,1,1,,0.0,External Subaward,4/9/2018,pi5,Sandra Ley
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Asking About Violence (Mexico),9/28/2015,1,1,,0.0,External Subaward,4/9/2018,pi6,Vivian Khedari DePierro
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Asking About Violence (Mexico),9/28/2015,1,1,,0.0,External Subaward,4/9/2018,pi7,Hannah Baron
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Asking About Violence (Mexico),9/28/2015,1,1,,0.0,External Subaward,4/9/2018,pi8,Elayne Stecher
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Asking About Violence (Mexico),9/28/2015,1,1,,0.0,External Subaward,4/9/2018,pi9,Mohammed Bukar
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Asking About Violence (Nigeria),9/28/2015,1,1,,1.0,External Subaward,4/9/2018,pi1,Lauren Young
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Asking About Violence (Nigeria),9/28/2015,1,1,,1.0,External Subaward,4/9/2018,pi2,Graeme Blair
