Opportunity Name,Organization/Household Name: Organization/Household Name,Opportunity Record Type,Project: Project Name,pi1,Proposal Submission Date,Won Proposal,Opportunities Count,Project: Country Program: Country Program Name,Project: Research Not Managed by IPA,Allocation Type,Original Close Date,pi2,pi3,pi4,pi5,pi6,pi7,pi8,pi9,pi10,pi11,pi12,pi13,pi14
IAD0010: Assessment of Security of Public Transport,Inter-American Development Bank (IDB),Grant Award,Security in Public Transport,Sebastian Galiani,7/23/2015,1,1,Peru,0.0,,9/28/2015,,,,,,,,,,,,,
Solar Light for Education: An impact evaluation of a solar lights distribution program on educational outcomes,Economic and Social Research Council (ESRC),Grant Proposal,Solar Light for Education,Paul Glewwe,5/14/2015,0,1,Francophone West Africa,0.0,,5/14/2015,Amy Damon,Eugénie Maïga,,,,,,,,,,,
New Proposal for World Vision Clean stove adoption and use,World Vision,Grant Proposal,WV clean stove,Manuel Barron,8/10/2015,0,1,Peru,0.0,,8/11/2015,,,,,,,,,,,,,
3ie LOI for IE of MINEDUC topicTBD,International Initiative for Impact Evaluation (3ie),Grant Proposal,IE of MINEDUC topicTBD,Jacobus Cilliers,6/15/2015,0,1,Rwanda,0.0,,6/15/2015,Leigh Linden,Andrew Zeitlin,Jeanine Condo,Assumpta Mukabutera,Albert Ndagijimana,,,,,,,,
CARE Women e-wallets scale-up,"LINDA SCOTT DOUBLE X ECONOMY, LLC",Grant Proposal,CARE Women's eWallets,Linda Scott,7/6/2017,0,1,Uganda,0.0,,7/31/2017,"Catherine Dolan 
PhD Anna Custers",,,,,,,,,,,,
LIFT Delta 3 Programme Migration and Development,Livelihoods and Food Security Fund,Grant Proposal,Migration and Development,Dean Yang,6/16/2015,0,1,Myanmar,0.0,,6/16/2015,,,,,,,,,,,,,
IRC0002 Immunization in Northern Uganda,International Rescue Committee (IRC),Grant Award,IRC Immunization in Northern Uganda,Jayne Webster,7/10/2015,1,1,Uganda,0.0,,3/17/2016,Peter Smith,Tracey Chantler,,,,,,,,,,,
"3ie Proposal Preparation for PAMANA Programs, OPAPP, Grant #1",International Initiative for Impact Evaluation (3ie),Grant Proposal,PAMANA Programs- OPAPP,Tilman Brueck,5/29/2015,0,1,Philippines,0.0,,5/29/2015,Aries Arugay,Arnelyn May Abdon,Anastasia Aladysheva,Mary Arends-Kuenning,Eli Berman,Laarni Escresa,Damir Esenaliev,Neil Ferguson,Marites Tiongco,Joesph Felter,Benjamin Crost,,
UCS9437- Cash Benchmarking Study - SPEED 2 (Rwanda),"University of California, San Diego",Grant Award,GiveHealth,Craig McIntosh,12/17/2017,1,1,Rwanda,0.0,Allocation,12/17/2017,Andrew Zeitlin,Bernard Ngabo Rwabufigiri,,,,,,,,,,,
RFP Philippine Remittances and HH Finances,Japan International Cooperation Agency (JICA),Grant Proposal,JICA - Philippine Remittances and HH Finances,Slesh Anand Shrestha,7/6/2015,0,1,Philippines,0.0,,7/6/2015,,,,,,,,,,,,,
Can Increasing Inter-jurisdictional Competition Improve Local Public Service Delivery? (IPA would receive subgrant),Texas A&M University,Grant Proposal,Strengthening Accountability,Jessica Gottlieb,1/15/2016,0,1,Francophone West Africa,0.0,,1/15/2016,Katrina Kosec,,,,,,,,,,,,
IGC9213 Search frictions and firm and market growth in Liberia,International Growth Centre (IGC),Grant Award,Search Frictions,Jonas Hjort,3/31/2015,1,1,Sierra Leone,0.0,,3/24/2016,Golvine de Rochambeau,,,,,,,,,,,,
