Opportunity Name,Organization/Household Name: Organization/Household Name,Opportunity Record Type,Project: Project Name,pi1,Proposal Submission Date,Won Proposal,Opportunities Count,Project: Country Program: Country Program Name,Project: Research Not Managed by IPA,Allocation Type,Original Close Date,pi2,pi3,pi4,pi5,pi6,pi7,pi8,pi9,pi10,pi11,pi12,pi13,pi14
VAND-22-10001 - Schools in Administration (Colombia),Vanderbilt University,Grant Award,Schools in Administration (SiA),Felipe Barrera-Osorio,1/18/2022,1,1,Colombia,0.0,Allocation,12/14/2022,Andrew Dustan,Luis Carvajal,Xinjie Zhang,,,,,,,,,,
IDB GDLab: Post-COVID-19 Employment Recovery for Women and Diverse Populations in Latin America and the Caribbean,Inter-American Development Bank (IDB),Grant Proposal,Remote work and employers? gendered beliefs about childcare responsibilities,Andrew Dustan,1/21/2022,0,1,Peru,0.0,,1/21/2022,Kristine Koutout,Luis Carvajal,,,,,,,,,,,
WBK-22-20153: Baseline IE of Support to Small Scale Traders in Burkina Faso through the TFWA Program,World Bank,Grant Award,IE of Support to Small Scale Traders in Burkina Faso through the TFWA Program,,1/18/2022,1,1,Francophone West Africa,0.0,Allocation,6/2/2022,,,,,,,,,,,,,
ILO Proposal Endline Child Labour Survey in Myanmar,International Labour Organization,Grant Proposal,ILO Endline Child Labour Survey in Myanmar,Nicola Pocock,1/26/2022,0,1,Myanmar,0.0,,1/26/2022,,,,,,,,,,,,,
ICIMOD-22-10002: Sandee proposal Women?s Bargaining Power and Energy Consumption in Myanmar?,International Centre for Integrated Mountain Development,Grant Award,Women?s Bargaining Power and Energy Consumption in Myanmar,Zin Nwe Win,12/12/2021,1,1,Myanmar,0.0,Allocation,8/17/2022,Myat Su Tin,,,,,,,,,,,,
UCL-22-10002: ECD Ecuador (Peru Office),University College London (UCL),Grant Award,SAFPI Ecuador,Gabriella Conti,2/4/2022,1,1,LAC-Other,0.0,Allocation,8/12/2022,Pamela Jervis,,,,,,,,,,,,
USDOS-20-10001 Human Trafficking Research Initiative,United States Department of State,Grant Award,Migrasia (Multiple Countries),,9/1/2020,1,1,,1.0,External Subaward,9/1/2020,,,,,,,,,,,,,
EAS0001 - Growth charts qualitative work (Zambia),Evidence Action,Grant Award,Growth charts qualitative work,,6/15/2018,1,1,Zambia,0.0,,6/1/2018,,,,,,,,,,,,,
COU-22-10006: The Effects of Community Media on Social Attitudes and Norms in Tanzania,Columbia University,Grant Award,Community Media II Top Up,Donald Green,2/8/2022,1,1,Tanzania,0.0,Allocation,9/30/2022,,,,,,,,,,,,,
Tax Perception Survey Among Micro and Small Businesses,World Bank,Grant Proposal,Innovations in Tax Compliance Project,,2/11/2022,0,1,Kenya,0.0,,2/11/2022,,,,,,,,,,,,,
WEL-21-10013 - Impact Fund and Scaling Evidence Use Program (Multiple Countries),Wellspring Philanthropic Fund,Grant Award,Technical Assistance to Digitize Cash Transfers in the Philippines,,7/6/2021,1,1,Philippines,0.0,Allocation,10/7/2021,,,,,,,,,,,,,
MIT-22-20083: Creating a Market for High-Quality Cassava Cuttings (Rwanda),Massachusetts Institute of Technology (MIT),Grant Award,Creating a Market for High-Quality Cassava Cuttings,Shilpa Aggarwal,1/1/2022,1,1,Rwanda,0.0,Allocation,11/14/2022,Jonathan Robinson,Alan Spearot,Youngwoo Song,,,,,,,,,,
Majengo Impact Study Baseline,Busara Center for Behavioral Economics,Grant Proposal,Majengo Impact Study,,2/2/2022,0,1,Uganda,0.0,,2/2/2022,,,,,,,,,,,,,
SUMMA-22-10001 - SUMMA  Impact fund: Kit Literacy (Colombia),SUMMA,Grant Award,Piloting Kit Literacy+ (PKL),Sarah Kabay,2/14/2022,1,1,Colombia,0.0,Allocation,10/5/2022,,,,,,,,,,,,,
GB-22-10002: SKY Evaluation (Kenya and Nigeria),Good Business,Grant Award,SKY Evaluation-Kenya,Selina Dana Hofstetter,2/17/2022,1,1,Kenya,0.0,Allocation,9/14/2022,Anna Maria Wilke,Tinghua Yu,Uchechi Anaduaka,,,,,,,,,,
GB-22-10002: SKY Evaluation (Kenya and Nigeria),Good Business,Grant Award,SKY Evaluation Nigeria,Anna Maria Wilke,2/17/2022,1,1,Nigeria,0.0,Allocation,9/14/2022,,,,,,,,,,,,,
LEGO-22-10007: LEGO Embedded Labs,LEGO Foundation,Grant Award,ICBF Lab (ICBF-Lab),,6/8/2022,1,1,Colombia,0.0,Allocation,10/27/2022,,,,,,,,,,,,,
AVSI-22-10001: Sustainable Market Inclusive Livelihood Pathways to Self-Reliance (SMILES) - Uganda,Association of Volunteers in International Service (AVSI),Grant Award,SMILES Graduation Program,Dean Karlan,10/29/2021,1,1,Uganda,0.0,Allocation,7/7/2022,Natália Poláková,Lasse Brune,Kim Fe Cramer,Natalia Polakova,Lasse Brune (UMich address),,,,,,,,
UZH-22-10015: Child Development Study (Malawi),University of Zurich,Grant Award,Child Development Study (Malawi),,2/28/2022,1,1,Malawi,0.0,Allocation,8/3/2022,,,,,,,,,,,,,
BMG-19-10001 FIP Consumer Protection,Gates Foundation,Grant Award,Competition and Entry in Digital Financial Markets,,8/29/2019,1,1,Ghana,0.0,External Subaward,10/30/2019,,,,,,,,,,,,,
DOL-22-10001 Child Labor Central America RCT + Pilots (Guatemala)- Canceled,United States Department of Labor,Grant Award,GUARDIAN - School drop out Guatemala,Eric Victor Edmonds,7/14/2022,1,1,LAC-Other,0.0,Allocation,7/14/2022,Mauricio Romero,,,,,,,,,,,,
Climate insurance IOM - USAID Guatemala,International Organization for Migration,Grant Proposal,Climate insurance Guatemala,,2/18/2022,0,1,LAC-Other,0.0,Allocation,2/18/2022,,,,,,,,,,,,,
UCLA-22-20014: UCLA for PRG Mining in SL (Phases 1 & 2) (Sierra Leone),"University of California, Los Angeles",Grant Award,Mining in Sierra Leone,Darin Christensen,2/7/2022,1,1,Sierra Leone,0.0,Allocation,8/18/2022,Jihae Hong,,,,,,,,,,,,
POR-22-10005: Pilot on Strengthening Whole Child Development (Kenya and Uganda),Porticus,Grant Award,IPA's Policy engagement with Porticus in Kenya and Uganda,,3/2/2022,1,1,Kenya,0.0,Allocation,11/1/2022,,,,,,,,,,,,,
COVID Vaccine Uptake Research in Tanzania,Social Science Research Council,Grant Proposal,COVID Vaccine Uptake Research in Tanzania,Laura Kwong,2/28/2022,0,1,Tanzania,0.0,Allocation,3/2/2022,,,,,,,,,,,,,
IDB-22-10042 - Conectar para Educar (Colombia),Inter-American Development Bank (IDB),Grant Award,Conectar para Educar Colombia (CpE),,3/2/2022,1,1,Colombia,0.0,Allocation,3/2/2022,,,,,,,,,,,,,
Yewande's Study on International Trade,University of Houston,Grant Proposal,Yewande's Study on International Trade,Yewande Olapade,3/10/2022,0,1,Kenya,0.0,,3/10/2022,,,,,,,,,,,,,
"Program to End Modern Slavery (PEMS) Proposal, Kenya",United States Department of State,Grant Proposal,Program to End Modern Slavery Project in Kenya,,3/10/2022,0,1,Kenya,0.0,,3/10/2022,,,,,,,,,,,,,
USDOS-20-10001 Human Trafficking Research Initiative,United States Department of State,Grant Award,NYU-Praxis (India),Meredith Dank,9/1/2020,1,1,,1.0,External Subaward,9/1/2020,,,,,,,,,,,,,
IKEA-22-10004: IKEA BOMA Project LIFT Evaluation(Kenya),IKEA Foundation,Grant Award,BOMA IKEA LIFT Evaluation,,8/12/2022,1,1,Kenya,0.0,Allocation,11/30/2022,,,,,,,,,,,,,
Wellcome Trust Global health burden,Wellcome Trust,Grant Proposal,Global health burden of exploitative work in Myanmar,,3/18/2022,0,1,Myanmar,0.0,Allocation,3/18/2022,,,,,,,,,,,,,
"IKEA-22-10002:Evaluation of AGRA ?Building Regenerative, Sustainable & Profitable Agric. Transformative Systems? (Kenya)",IKEA Foundation,Grant Award,AGRA Evaluation for the Regenerative Pulses Program in Kenya,Nathan Fiala,3/17/2022,1,1,Kenya,0.0,Allocation,8/25/2022,Simon Wagura Ndiritu,,,,,,,,,,,,
Survey Experiment on Digitalization,WZB Berlin Social Science Center,Grant Proposal,Survey Experiment on Digitalization,,3/14/2022,0,1,Kenya,0.0,Allocation,3/14/2022,,,,,,,,,,,,,
Mama Tips: Debunking COVID-19 Vaccine Misinformation Among Pregnant and Postpartum Women in Kenya - Mercury Project,"University of California, Los Angeles",Grant Proposal,Mama Tips,,3/15/2022,0,1,Kenya,0.0,Allocation,3/15/2022,,,,,,,,,,,,,
BMG-21-10009_ Monitoring the Real Cost of Domestic Payments (Transaction Cost Index),Gates Foundation,Grant Award,Findex Forecasting Survey,Seth Garz,10/12/2021,1,1,,0.0,Allocation,11/11/2021,,,,,,,,,,,,,
Skills Mismatch Among Female Healthcare Workers in the Philippines,Massachusetts Institute of Technology (MIT),Grant Proposal,Skills Mismatch Among Female Healthcare Workers in the Philippines,,4/11/2022,0,1,Philippines,0.0,Allocation,4/11/2022,,,,,,,,,,,,,
ITAM-22-10002: Criminal Investigators Technical Assistance and Certification (Mexico),Instituto Tecnológico Autónomo de México (ITAM),Grant Award,Criminal Investigators Technical Assistance and Certification,Rodrigo Canales,2/14/2022,1,1,Mexico,0.0,Allocation,11/16/2022,,,,,,,,,,,,,
Analyst Training,Instituto Tecnológico Autónomo de México (ITAM),Grant Proposal,Mexico Analyst Training,Rodrigo Canales,2/15/2022,0,1,Mexico,0.0,Allocation,2/15/2022,,,,,,,,,,,,,
Research and Innovation in Mental Health,The Agency Fund,Grant Proposal,Research and Innovation in Mental Health,Rodrigo Canales,1/3/2022,0,1,Mexico,0.0,Allocation,1/3/2022,,,,,,,,,,,,,
BRN-22-10002: Contraceptives UNZA (Zambia),Brown University,Grant Award,Contraceptives UNZA,,1/26/2022,1,1,Zambia,0.0,Allocation,11/29/2022,,,,,,,,,,,,,
NWU-23-10030: NWU Teacher resiliency pilot (Ghana),Northwestern University,Grant Award,Teacher Resiliency Project,Christopher Udry,6/12/2023,1,1,Ghana,0.0,Allocation,9/1/2023,Angela Ofori-Atta,Andre J Nickow,,,,,,,,,,,
BOS-22-10005: GDS Foundation for Youth FORWARD Sierra Leone,Boston College,Grant Award,Youth FORWARD Follow-Up,Theresa Betancourt,2/2/2022,1,1,Sierra Leone,0.0,Allocation,12/16/2022,Robert Brennan,Nathan Hansen,Alethea Desrosiers,Tamora Callands,Jordan Farrar,,,,,,,,
CIS-19-10001: Cisco Global Impact Grant - PPI Alliance Year 4 (PPI),Cisco Systems Foundation,Grant Award,Poverty Measurement Department (PPI),,5/15/2019,1,1,,0.0,Allocation,6/6/2019,,,,,,,,,,,,,
NWU-22-10018: Northwestern funding for Financial Technology Adoption for small retailers (Mexico),Northwestern University,Grant Award,Financial Technology Adoption for small retailers in Mexico,Sean Higgins,3/28/2022,1,1,Mexico,0.0,Allocation,5/10/2022,,,,,,,,,,,,,
CWM-22-10001: RCT Ad-Supported Smartphones (Uganda),The College of William and Mary,Grant Award,Effective strategies to reduce the smartphone gender gap in Uganda,Philip Roessler,5/27/2022,1,1,Uganda,0.0,Allocation,8/19/2022,,,,,,,,,,,,,
World Bank Enterprise Survey,World Bank,Grant Proposal,WB Enterprise Survey - Ghana,,2/14/2022,0,1,Ghana,0.0,Allocation,2/14/2022,,,,,,,,,,,,,
Somalia Forecast Project,"University of California, Santa Cruz",Grant Proposal,Somalia Forecast Project,Jonathan Robinson,3/29/2022,0,1,Kenya,0.0,Allocation,3/25/2022,,,,,,,,,,,,,
USDOS-20-10001 Human Trafficking Research Initiative,United States Department of State,Grant Award,Social Networks and Safety,Ignacio Rodriguez,9/1/2020,1,1,Mexico,0.0,Internal Subaward,9/1/2020,Fernanda Sobrino,,,,,,,,,,,,
YAL-21-10009: Workforce Development Solutions at Scale,Yale University,Grant Award,Policy work- Workforce Development Solutions,,8/23/2021,1,1,,0.0,Allocation,6/3/2022,,,,,,,,,,,,,
WEL3338: Evidence Consolidation # 13338 (Global),Wellspring Philanthropic Fund,Grant Award,EPSD Program Consolidation research,,5/15/2018,1,1,,0.0,Allocation,7/26/2018,,,,,,,,,,,,,
WBK-22-20149: World Bank Livelihoods Support Intervention (Nigeria),World Bank,Grant Award,World Bank Livelihood Evaluation,Julia Vaillant,2/17/2022,1,1,Nigeria,1.0,Allocation,8/18/2022,,,,,,,,,,,,,
BMG-20-10005 Evaluating New Deployments of L1P-aligned Payments Systems,Gates Foundation,Grant Award,Elasticity of Demand of Interoperable Payments in the Philippines,Russell Toth,8/14/2020,1,1,Philippines,0.0,Allocation,11/5/2020,Joaquin Emmanuel J Gonzales,Tiffany Tsai,Philip Roessler,,,,,,,,,,
UNDP Household survey on the Impact of COVID-19 on SDGs,United Nations Development Program (UNDP),Grant Award,COVID-19 Impact on SDGs,,4/11/2022,1,1,Philippines,0.0,Allocation,4/18/2022,,,,,,,,,,,,,
Metaketa Collaboration,Evidence in Governance and Politics,Grant Proposal,Metaketa Collaboration,Cecilia Hyunjung Mo,8/23/2021,0,1,Nigeria,0.0,Allocation,8/23/2021,,,,,,,,,,,,,
Governance Initiative (GI) Full Study Proposal for SL Elections 2023,Massachusetts Institute of Technology (MIT),Grant Proposal,Sierra Leone Elections 2023,Katherine Casey,9/23/2022,0,1,Sierra Leone,0.0,Allocation,9/23/2022,Andres Felipe Rodriguez,Niccolo Francesco Meriggi,Abou Bakarr Kamara,Pablo Guzman Lizardo,,,,,,,,,
MIT-22-20094 - Gender Norms and Fatherhood (Mexico),Massachusetts Institute of Technology (MIT),Grant Award,Gender Norms and Fatherhood,Maria Elisa Failache,4/11/2022,1,1,Mexico,0.0,Allocation,7/17/2023,,,,,,,,,,,,,
WBK-22-20151: Technical assistance to the Senegalese Observatory of the Quality of Financial Services (OQSF),World Bank,Grant Award,Technical assistance to the Senegalese Observatory,,3/11/2022,1,1,Francophone West Africa,0.0,Allocation,5/6/2022,,,,,,,,,,,,,
IGC Labor Demand,International Growth Centre (IGC),Grant Proposal,LDP,Nathan Fiala,4/29/2022,0,1,Kenya,0.0,Allocation,4/29/2022,,,,,,,,,,,,,
UCB-23-20022: Impact of Digital Credit Innovations on Low-Income Women in Nigeria (Nigeria),"University of California, Berkeley",Grant Award,Impact of Digital Credit on Low-Income Women in Nigeria,,7/15/2022,1,1,Nigeria,0.0,Allocation,2/15/2023,,,,,,,,,,,,,
SSRC1-22-10001: An mHealth Intervention to Combat COVID-19 Misinformation & Improve Vaccine Attitudes & Behavior (Ghana),Social Science Research Council,Grant Award,Combating COVID Misinformation,Mylene Lagarde,5/16/2022,1,1,Ghana,0.0,Allocation,7/28/2022,Hubert Amu,Marta Grabowska,,,,,,,,,,,
NI-22-10002: Nutrition International - Post-Event Coverage Survey (NI-PECS) -TOGO,Nutrition International,Grant Award,Nutrition International - Post-Event Coverage Survey (NI-PECS) -TOGO,,2/21/2022,1,1,Francophone West Africa,0.0,Allocation,6/9/2022,,,,,,,,,,,,,
IKEA-22-10003: IPA IKEA Foundation Displaced Livelihoods Initiative (with J-PAL),IKEA Foundation,Grant Award,Displaced Livelihoods Initiative - Global Project,,4/29/2022,1,1,,0.0,Allocation,11/18/2022,,,,,,,,,,,,,
FID for STYL Scale Up Support,Fund for Innovation in Development (FID),Grant Proposal,STYL scale-up support,,11/9/2023,0,1,Sierra Leone,0.0,Allocation,11/9/2023,,,,,,,,,,,,,
"WEL-22-10015: Policy Outreach, Consolidation, and Local Research Capacity",Wellspring Philanthropic Fund,Grant Award,Researcher Diversification Initiative- Rwanda,,5/11/2022,1,1,Rwanda,0.0,External Subaward,8/17/2022,,,,,,,,,,,,,
USDOS-20-10001 Human Trafficking Research Initiative,United States Department of State,Grant Award,Stanford University (Bangladesh),Grant Miller,9/1/2020,1,1,,1.0,External Subaward,9/1/2020,,,,,,,,,,,,,
2023 Hilton ECD Evaluation - Kenya,Conrad N. Hilton Foundation,Grant Proposal,Hilton ECD Evaluation Project,,3/23/2023,0,1,Kenya,0.0,Allocation,3/23/2023,,,,,,,,,,,,,
DLI - Refugee Representation: Strengthening Inclusion and Agency through Parental Engagement in Schools,Harvard University,Grant Proposal,Refugee Representation Public education and local civil society,Shelby Carvalho,7/21/2023,0,1,Kenya,0.0,Allocation,7/21/2023,,,,,,,,,,,,,
FSDT-23-10001: TZ FinScope Qualitative Component (Tanzania),Financial Sector Deepening Trust,Grant Award,TZ FinScope Qualitative Component,Philip Roessler,3/1/2023,1,1,Tanzania,0.0,Allocation,10/23/2023,,,,,,,,,,,,,
COU-22-10006: The Effects of Community Media on Social Attitudes and Norms in Tanzania,Columbia University,Grant Award,Community Media III Boda Boda and Pangani Community Surveys,Donald Green,2/8/2022,1,1,Tanzania,0.0,Allocation,9/30/2022,Beatrice Montano,Dylan Groves,,,,,,,,,,,
Improving Teaching and Early-Grade Learning in Ghana,Massachusetts Institute of Technology (MIT),Grant Proposal,Quality Coaching for Literacy and Numeracy (QCLN),Carol Scheffner,10/31/2023,0,1,Ghana,0.0,Allocation,11/7/2023,Sharon Wolf,,,,,,,,,,,,
Palladium Fund - mEducation,Palladium International Limited,Grant Proposal,mEducation Scale-up in the Philippines,,10/27/2023,0,1,Philippines,0.0,Allocation,10/27/2023,,,,,,,,,,,,,
WEI-24-10004: WU for Intergroup Trust in Fragile Settings in Mali,Washington University in St. Louis,Grant Award,Intergroup Trust in Fragile Settings in Mali,William Nomikos,4/3/2023,1,1,Francophone West Africa,0.0,Allocation,11/27/2024,,,,,,,,,,,,,
IFP-23-10011: IFPRI April 2023: Understanding losses across potato value chain - Potato Value Chain Project (Kenya),International Food Policy Research Institute (IFPRI),Grant Award,Potato Value Chain Project,Luciana Delgado,4/12/2023,1,1,Kenya,0.0,Allocation,4/10/2023,,,,,,,,,,,,,
Digital Agricultural Innovations and Services Initiative (DAISI),Abdul Latif Jameel Poverty Action Lab (J-PAL),Grant Proposal,Strengthening Rural Youths Development through Digital Agricultural Innovations,,4/11/2023,0,1,Malawi,0.0,Allocation,4/11/2023,,,,,,,,,,,,,
BMG-19-10001 FIP Consumer Protection,Gates Foundation,Grant Award,Detecting and preventing commission and account opening overcharging - Uganda,Tomoki Fujii,8/29/2019,1,1,Uganda,0.0,Internal Subaward,10/30/2019,Abu S. Shonchoy,,,,,,,,,,,,
Fair Price,"Institute of Statistical, Social and Economic Research (ISSER)",Grant Proposal,Fair Price,,3/31/2023,0,1,Nigeria,0.0,Allocation,3/31/2023,,,,,,,,,,,,,
Women's World Banking Digital Remittances,Women's World Banking,Grant Proposal,Women's World Banking Digital Remittances,,3/30/2023,0,1,Nigeria,0.0,Allocation,3/30/2023,,,,,,,,,,,,,
PEMS Proposal: Achieving Trauma-Informed Child Protective Prosecution of OSEC Incidents,United States Department of State,Grant Proposal,Achieving Trauma-Informed Child Protective Prosecution of OSEC Incidents,,4/20/2023,0,1,Philippines,0.0,Allocation,4/21/2023,,,,,,,,,,,,,
University Partnership- UDS-IPA-NWU partnership _US Embassy in Ghana,United States Department of State,Grant Proposal,University Partnerships - US Embassy in Ghana,Christopher Udry,4/21/2023,0,1,Ghana,0.0,Allocation,4/21/2023,,,,,,,,,,,,,
LEGO-22-10007: LEGO Embedded Labs,LEGO Foundation,Grant Award,Embedded lab Uganda,,6/8/2022,1,1,Uganda,0.0,Allocation,10/27/2022,,,,,,,,,,,,,
Sesame-23-10006 - Play Every Day Process Evaluation (Mexico),Sesame Workshop,Grant Award,Play Every Day Process Evaluation,,3/27/2023,1,1,Mexico,0.0,Allocation,8/30/2023,Juan Manuel Hernández-Agramonte,,,,,,,,,,,,
MPP-23-10002 Census CITE (Peru),"Ministry of Production, Peru",Grant Award,Census CITE,Stanislao Maldonado,4/24/2023,1,1,Peru,0.0,Allocation,4/24/2023,,,,,,,,,,,,,
CGD-24-10002: CGD for Long-term follow-up to early grade interventions,Center for Global Development,Grant Award,CDG Mali long term return,,6/6/2023,1,1,Francophone West Africa,0.0,Allocation,1/22/2024,,,,,,,,,,,,,
World Bank Edo Global Education Policy Dashboard,World Bank,Grant Proposal,Edo Global Education Policy Dashboard,,4/26/2023,0,1,Nigeria,0.0,Allocation,4/26/2023,,,,,,,,,,,,,
Food Banking,Citi Foundation,Grant Proposal,Food Banking,,3/23/2023,0,1,Ghana,0.0,Allocation,3/23/2023,,,,,,,,,,,,,
BMG-23-10011: META-ANALYSIS OF EFFECTIVENESS OF ENTREPRENEURSHIP INTERVENTIONS FOR WOMEN,Gates Foundation,Grant Award,Evidence Syntheses and meta-analysis- capital and women's livelihoods,,1/13/2023,1,1,,0.0,External Subaward,5/22/2023,,,,,,,,,,,,,
JPAL Learning for All - Luoto Garcia,Massachusetts Institute of Technology (MIT),Grant Proposal,Msingi Bora (Luoto/Garcia),,5/12/2023,0,1,Kenya,0.0,Allocation,5/12/2023,,,,,,,,,,,,,
CEFI Financial Deepening,Abt Associates,Grant Proposal,CEFI Financial Deepening,,5/19/2023,0,1,Philippines,0.0,Allocation,5/19/2023,,,,,,,,,,,,,
NWU-22-10022 - Northwestern 2022-2023 GPRL ASOS (Global),Northwestern University,Grant Award,Sector Programs Department,,8/7/2022,1,1,,0.0,Allocation,9/29/2022,,,,,,,,,,,,,
BMG-21-10009_ Monitoring the Real Cost of Domestic Payments (Transaction Cost Index),Gates Foundation,Grant Award,Providing evidence-based recommendations to Nigeria Entrepreneurship PAC,,10/12/2021,1,1,Nigeria,0.0,Allocation,11/11/2021,,,,,,,,,,,,,
WBK-23-20163: Test Indicators to Measure Women?s Economic Empowerment (WEE) in Financial Inclusion,World Bank,Grant Award,Test Indicators to Measure Women?s Economic Empowerment (WEE),,5/4/2023,1,1,,0.0,Allocation,6/16/2023,,,,,,,,,,,,,
CGD-24-10002: CGD for Long-term follow-up to early grade interventions,Center for Global Development,Grant Award,TCAI Long Term Follow Up,,6/6/2023,1,1,Ghana,0.0,Allocation,1/22/2024,,,,,,,,,,,,,
Yale 2023 Tharaka Nithi County Government Creche Project,Yale University,Grant Proposal,Creche education ande WEE RCT in Tharaka Nithi,,5/24/2023,0,1,Kenya,0.0,Allocation,5/24/2023,,,,,,,,,,,,,
UCH-23-10021 -New Proposal for Teacher based intervention in JEC (Peru),University of Chicago,Grant Award,Oportunidades para Todos,Christopher Campos,5/2/2023,1,1,Peru,0.0,Allocation,10/13/2023,Joan Martinez Palomino,,,,,,,,,,,,
J-PAL SPI: Mitigating climate risk through parametric insurance,Abdul Latif Jameel Poverty Action Lab (J-PAL),Grant Proposal,Mitigating climate risk through parametric insurance,,9/1/2023,0,1,Philippines,0.0,Allocation,9/1/2023,,,,,,,,,,,,,
Social Support for Resilient Livelihoods Project,Government of Malawi,Grant Proposal,Social Support for Resilient Livelihoods Project,,5/19/2023,0,1,Malawi,1.0,Allocation,5/19/2023,,,,,,,,,,,,,
Boston University proposal on Mpesa exploratory work in Kenya,Boston University,Grant Proposal,Boston University's Mobile Money Project in Kenya,,5/25/2023,0,1,Kenya,0.0,Allocation,5/25/2023,,,,,,,,,,,,,
SUMMA-23-10003 Teacher Professional Development - Atentamente (Mexico),SUMMA,Grant Award,Teacher Professional Development - Atentamente,,5/31/2023,1,1,Mexico,0.0,Allocation,1/8/2024,,,,,,,,,,,,,
UNWFP Resilience and Risk Perception Survey,United Nations World Food Programme,Grant Proposal,UNWFP Absorptive Capacity & Risk Perception Study,,10/10/2023,0,1,Philippines,0.0,Allocation,10/10/2023,,,,,,,,,,,,,
USDOS-20-10001 Human Trafficking Research Initiative,United States Department of State,Grant Award,TZ Human Trafficking Research Initiative (HTRI) Seed Grant Round 3,Julia Kleinewiese,9/1/2020,1,1,Tanzania,0.0,External Subaward,9/1/2020,Sandra Morgenstern,,,,,,,,,,,,
PEMS SinTrata Digital Certification Research,United States Department of State,Grant Proposal,SinTrata Digital Certification Research Study,,4/25/2023,0,1,Mexico,0.0,Allocation,4/25/2023,,,,,,,,,,,,,
Gender-Based Violence Investigation and Prevention,Bureau of International Narcotics and Law Enforcement Affairs,Grant Proposal,Gender-Based Violence Investigation and Prevention,,5/1/2023,0,1,Mexico,0.0,Allocation,5/1/2023,Sandra Aguilar-Gomez,,,,,,,,,,,,
K-CAI Agricultural Insurance,J-PAL North America,Grant Proposal,Agricultural Insurance Mexico,Mauricio Roomero,3/21/2023,0,1,Mexico,0.0,Allocation,3/21/2023,Carlos Muñoz Piña,,,,,,,,,,,,
IGC-22-20028 - Local Authorities Qualitative Survey (Zambia),International Growth Centre (IGC),Grant Award,IGC_Local Authorities Qualitative Survey,,4/30/2022,1,1,Zambia,0.0,Allocation,3/24/2023,,,,,,,,,,,,,
WINROCK-22-10001 - Food for Progress Project Baseline Evaluation (Malawi),Winrock International,Grant Award,Winrock's Food for Progress Project,,5/6/2022,1,1,Malawi,0.0,Allocation,2/25/2023,,,,,,,,,,,,,
"Grameen, FIP, HTRI Project - PEMS NOFO",United States Department of State,Grant Proposal,Financial Inclusion to Reduce Vulnerability to Trafficking,,3/10/2022,0,1,LAC-Other,0.0,Allocation,6/2/2022,Mayara Felix,Cecilia Mo,Dean Yang,,,,,,,,,,
USDOS-20-10001 Human Trafficking Research Initiative,United States Department of State,Grant Award,The Freedom Fund (Brazil),Ligia Kiss,9/1/2020,1,1,United States,1.0,External Subaward,9/1/2020,,,,,,,,,,,,,
IFP-22-10006: Behavioral Intelligence for Accelerating Varietal Turnover - Data Collection in Ethiopia (Kenya),International Food Policy Research Institute (IFPRI),Grant Award,Markets Risk and Resilience Ethiopia,Maria Porter,12/12/2022,1,1,Kenya,0.0,Allocation,12/22/2022,,,,,,,,,,,,,
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Reducing Violence versus building trust,Rebecca Wolfe,9/28/2015,1,1,Nigeria,0.0,Internal Subaward,4/9/2018,Catlan E Reardon,,,,,,,,,,,,
HWG-22-10003: 2022 Transforming IPA's Digital Capabilities (United States),Horace W. Goldsmith Foundation,Grant Award,Partnership for Tech RFE,,3/13/2022,1,1,United States,0.0,Allocation,4/11/2022,,,,,,,,,,,,,
"IGC-22-20029: Managers, Motivation, and Worker Productivity: Evidence from Survey Enumerators (Uganda)",International Growth Centre (IGC),Grant Award,Project with IPA Managers Monitoring and Workplace Incentives,Ritwika Sen,5/4/2022,1,1,Uganda,0.0,Allocation,10/21/2022,,,,,,,,,,,,,
JHU-23-10002: Wellspring for Empowered Entrepreneur Training (Uganda),Johns Hopkins University,Grant Award,Empowered Entrepreneur Training with SEE Change,Anita Shankar,6/14/2022,1,1,Uganda,0.0,Allocation,5/16/2023,,,,,,,,,,,,,
USDOS-20-10001 Human Trafficking Research Initiative,United States Department of State,Grant Award,UCL (Greece),Alexandra Hartman,9/1/2020,1,1,,1.0,External Subaward,9/1/2020,,,,,,,,,,,,,
USDOS-20-10001 Human Trafficking Research Initiative,United States Department of State,Grant Award,Academic Lead - University of Pennsylvania (Grossman),,9/1/2020,1,1,,1.0,External Subaward,9/1/2020,,,,,,,,,,,,,
CNHF-21-10001: Co-generating Evidence to Improve the Impact of Temporary Working and Residence Permits for Mi (Colombia),Conrad N. Hilton Foundation,Grant Award,Promoting Migrant Registration to SISBEN (PMRS),Andrés Ham,3/17/2021,1,1,Colombia,0.0,Allocation,4/29/2021,Ana María Rojas Méndez,César Mantilla,,,,,,,,,,,
EDLR-22-10002 -National Learning Assessment System - Phase 2 (Liberia),"Ministry of Education, Liberia",Grant Award,Liberia National Learning Assessment System (NLAS) - Phase 2,Sarah Kabay,5/20/2022,1,1,Sierra Leone,0.0,Allocation,3/27/2023,,,,,,,,,,,,,
ISSER-23-10002: ReFinD for Women & Girls FIRST (Sierra Leone),"Institute of Statistical, Social and Economic Research (ISSER)",Grant Award,Women and Girls FIRST,Francis Annan,4/12/2023,1,1,Sierra Leone,0.0,Allocation,9/8/2023,,,,,,,,,,,,,
